"var","u0","beta_per_decade","se_beta","sigma","xi","theta","n_exc"
"X1",321.919182864335,34.1266957170416,4.17929369158302,128.069249587706,0.183401256316769,0.131007799735492,817
"X2",190.253805475575,13.9660449418157,1.66477220766404,75.005449177915,0.146456209194499,0.140546334416147,816
"X3",557.468631000688,84.590472964717,9.26555167036374,267.048157087844,0.121678972010228,0.127062903313493,816
"X4",121.541125059033,14.3788314363634,1.5933266790118,59.1634026076375,0.0187254721458617,0.130048589953995,816
"B1",219.077882151811,21.2019315515863,2.31012566222422,68.8783654326237,0.018227245127206,0.104564646236091,815
