"var","RL10","RL25","RL50","RL100"
"X1",972.695162599819,1205.2732467052,1406.40392409096,1632.18815211898
"X2",536.394781590421,652.400361742792,749.613573530395,855.809309200468
"X3",1830.4823476906,2225.779293125,2552.04247356289,2903.79587522307
"X4",354.178966944549,421.341455219567,475.314254691546,532.17627853066
"B1",484.492674717945,561.048407164852,621.803367387221,685.121484728507
