"var","r","n_clusters","sigma","xi","RL10","RL25","RL50","RL100"
"X1",8,98,283.077981203975,0.135732902035364,1478.71771458695,1898.31802615895,2252.27043916158,2641.14053963528
"X2",8,121,133.248495276844,0.108104968380822,747.52808878566,930.727713240068,1081.88248855262,1244.79885306374
"X3",8,88,625.954345264132,-0.0281312078762994,2528.10419801892,3048.89856365354,3434.0414370819,3811.7471283528
"X4",8,98,132.688342009486,-0.17791963840279,471.1500861368,535.997230545205,578.488247822145,616.049320000276
"B1",11,54,133.383004212671,-0.113296107675927,557.561882148593,645.165384687782,705.648609782043,761.563749420796
