"var","u","n_exc","sigma","se_sig_naive","se_sig_smith","xi","se_xi_naive","se_xi_smith","theta"
"X1",395.937058962146,817,138.711336989336,6.89745245501862,8.89694761933129,0.1668115663729,0.0358299908281322,0.0658969796381788,0.129622360443111
"X2",220.737350121462,817,79.10517927335,4.00580454122758,5.67142166460153,0.127501533215626,0.0368853711515087,0.0544949938321819,0.138666547207438
"X3",742.713925625547,816,292.261446701916,15.7725646004084,23.593138088722,0.108528190119993,0.0412400472345103,0.0444905816988963,0.125665387585477
"X4",156.448941848989,817,55.9250292723799,2.96667145260892,4.55816591556667,0.0752329292356455,0.0399614133102023,0.0451619405669273,0.126632190848114
"B1",268.691211747023,817,68.4231498038093,3.52376870876332,7.0232724492406,0.0596161603792422,0.0378486981662198,0.0638193155744785,0.0991133079263161
