"Station","Stat_Mu_Est","Stat_Mu_SE","Stat_Sigma_Est","Stat_Sigma_SE","Stat_Xi_Est","Stat_Xi_SE","Stat_RL_50","Stat_RL_100","NS_Mu0_Est","NS_Mu1_Trend","NS_Sig0_Est","NS_Sig1_Trend","NS_Xi_Est","NS_RL_50_Final","NS_RL_100_Final","Stat_Mu_Lower","Stat_Mu_Upper","Stat_Sig_Lower","Stat_Sig_Upper","Stat_Xi_Lower","Stat_Xi_Upper"
"ADAMS",221.007980349723,5.52573903071128,40.1486618259641,3.96612916257118,-0.158039952200587,0.0976661580307744,337.932231652916,352.257529665228,221.041749425499,-0.0256126640713042,NA,NA,-0.159318156084546,329.808175395413,343.196376024304,210.177531849529,231.838428849917,32.3750486673246,47.9222749846036,-0.349465621940905,0.0333857175397305
"ARNT7",247.808262793744,7.62363779760407,56.2040249515007,5.90521903443547,0.172582611171541,0.0862125781431033,560.741304320926,642.519856957785,247.820893821497,0.221928620024476,NA,NA,0.178576257297284,505.917996597964,572.24763788783,232.86593271044,262.750592877048,44.6297956440072,67.7782542589943,0.00360595801105812,0.341559264332023
"ASHNO",52.0500168349853,3.9142133225449,27.8507294439377,2.89459805976656,-0.0301981368527436,0.109448536448329,154.563617824439,171.666885329114,52.7293621991678,0.234404903004233,NA,NA,-0.063949589541515,172.262587929427,189.469940171072,44.3781587227973,59.7218749471733,22.1773172467953,33.5241416410802,-0.244717268291468,0.18432099458598
"BAEZA",8.50719988680808,0.493291610489848,5.09240885823142,0.421983449941403,0.338561584966599,0.0702968455801237,49.8308011045885,64.861336209216,8.5410178611402,-0.0338380263601271,NA,NA,0.33632623250051,43.8829165935307,57.0938984728186,7.54034833024798,9.47405144336819,4.26532129634627,5.91949642011657,0.200779767629556,0.476343402303641
"BAKER",31.3989603198153,1.80296105093505,12.4371563180323,1.37677844940202,0.0198115028528211,0.127657164949913,81.8529892910317,91.2998403427859,31.4458083469469,-0.10526788559262,NA,NA,0.0241756584147494,75.5490329493283,84.5559727387501,27.8651566599826,34.932763979648,9.73867055720437,15.1356420788603,-0.230396540449009,0.270019546154651
"BARRM",83.0012015513615,2.51467463679076,18.8820702071705,1.86913559633312,0.121871300979741,0.0688453088511199,177.336742372078,199.476172520839,83.2429248992285,0.162268079351171,NA,NA,0.121812526949162,160.311655244277,177.120884940354,78.0724392632517,87.9299638394714,15.2185644383576,22.5455759759835,-0.0130655043684539,0.256808106327936
"BARRS",74.890526702796,2.17056082099681,16.2619131255176,1.62134810268654,0.131093066019183,0.0704124779558051,157.732613589601,177.563143108519,75.0805136924563,0.14595326556495,NA,NA,0.130550214809078,144.163350134349,159.511962679218,70.6362274936423,79.1448259119497,13.084070844252,19.4397554067833,-0.00691539077419506,0.269101522812561
"BCHAL",87.0704347770844,4.10062213647053,29.594429682743,3.03810167307184,0.0224758546008132,0.100215337235344,207.760984220567,230.496032633072,86.7074707663315,0.193701846975147,NA,NA,0.055890350187138,210.553284192383,234.388052987619,79.0332153896021,95.1076541645666,23.6397504035222,35.5491089619638,-0.173946206380461,0.218897915582088
"BCHLJ",193.300811303212,4.83970637831858,34.9215824161159,3.54453419131478,-0.0388102256612338,0.10080437353633,319.746938965236,340.421771037439,194.472192742769,-0.790441755438221,NA,NA,-0.0246315770980924,285.481706481568,305.339812836219,183.814986801708,202.786635804717,27.9742954011389,41.8688694310929,-0.236386797792442,0.158766346469974
"BCHSF",464.445435776725,19.0993235152486,138.853758729084,14.9616534562855,0.173663345175494,0.099147899852264,1239.37042127463,1442.338714218,466.13629329049,0.479322003490556,NA,NA,0.155949509963817,1314.10807735025,1524.04982606079,427.010761686838,501.880109866612,109.528917954764,168.178599503403,-0.020666538534943,0.367993228885932
